"","CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A","MANUAL_DB","SUBPANEL","COLOCATED_CD_RMRS","CONDCHNGCD_RMRS","FUTFORCD_RMRS","MANUAL_NCRS","MANUAL_NERS","MANUAL_RMRS","PAC_ISLAND_PNWRS","PLOT_SEASON_NERS","PRECIPITATION","PREV_MICROPLOT_LOC_RMRS","PREV_PLOT_STATUS_CD_RMRS","REUSECD1","REUSECD2","REUSECD3","total_cond","natural","treatment","proportion_forest","cc","FORTYPCD","total_fortypcd","forest_group","do.union"
"1",345934846489998,310278365489998,6010497,8936437010901,2016,6,5,9,73206,1,NA,2016,6,8,10,2,501,5,0,1500,2,2,3,NA,"M261Fb",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,5,3,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,98,934,1,920,TRUE
"2",345934867489998,310278365489998,30010497,8921501010901,2016,6,3,57,71808,2,NA,2016,9,1,10,2,501,NA,NA,6300,2,2,3,NA,"M261Ej",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3",412219751489998,384841466489998,15010497,22955381010497,2017,6,6,27,52041,2,NA,2017,9,1,9.9,2,501,NA,NA,5500,2,2,4,NA," 341Fb",608,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"4",412219752489998,384841466489998,55010497,22952983010497,2017,6,5,107,87386,2,NA,2017,11,2,10,2,501,9,0,8900,2,2,4,NA,"M261Eo",623,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",12.5,NA,1,4,24,1,6,7,5,7,1,1,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"5",412219753489998,384841466489998,55010497,22953039010497,2017,6,5,107,85582,1,NA,2017,10,5,10,2,501,4,0,6700,2,2,4,NA,"M261Eu",623,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",12.5,NA,1,4,24,1,6,7,5,2,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,25,185,1,180,TRUE
"6",412219826489998,384841466489998,26010497,22955612010497,2017,6,2,49,54771,2,NA,2017,9,1,9.9,2,501,NA,NA,4500,2,2,4,NA," 342Bi",601,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"7",412219834489998,384841466489998,11010497,22953102010497,2017,6,5,19,82988,1,NA,2017,9,26,10.2,2,501,9,1,10700,2,2,4,NA,"M261Eo",604,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",13,NA,1,4,24,1,6,7,5,7,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,10,0.578931,18.553893,367,0.578931,360,TRUE
"8",412219835489998,384841466489998,16010497,22953003010497,2017,6,5,29,87624,2,NA,2017,9,1,9.8,2,501,NA,NA,4300,2,2,4,NA,"M261Es",623,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"9",412219837489998,384841466489998,26010497,22955599010497,2017,6,2,49,70469,2,NA,2017,9,19,10,2,501,NA,NA,4500,2,2,4,NA," 342Bi",601,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,2,1,24,1,6,7,3,NA,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10",412221660489998,384841466489998,11010497,22953126010497,2017,6,5,19,58360,1,NA,2017,5,4,10,2,501,2,0,4100,2,2,4,NA,"M261Ep",604,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",13,NA,1,4,24,1,6,7,5,3,1,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.979363,14.690445,933,0.979363,920,TRUE
