,CWHR_ID,B108,B115,B116,B117,B119,B123,B126,B127,B129,B131,B134,B140,B141,B251,B255,B262,B264,B265,B267,B269,B270,B271,B272,B274,B282,B287,B293,B294,B296,B298,B299,B302,B303,B304,B305,B306,B307,B308,B321,B345,B346,B348,B349,B350,B351,B353,B354,B356,B357,B358,B360,B361,B362,B363,B364,B366,B367,B368,B369,B370,B375,B376,B377,B380,B382,B386,B389,B391,B398,B408,B410,B417,B435,B483,B484,B487,B497,B504,B505,B510,B512,B519,B521,B524,B534,B535,B536,B537,B538,B539,B542,B543,B545,B546,B552,B699,M003,M004,M012,M015,M018,M021,M023,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M037,M038,M039,M043,M045,M047,M049,M050,M051,M052,M054,M055,M057,M062,M063,M066,M070,M072,M075,M077,M079,M080,M081,M083,M085,M088,M095,M104,M105,M113,M117,M118,M119,M120,M121,M127,M128,M129,M130,M133,M134,M136,M139,M143,M145,M146,M147,M148,M149,M151,M152,M153,M154,M155,M156,M157,M160,M161,M162,M165,M166,M181,M182,M233,R017,R018,R022,R023,R024,R029,R030,R036,R037,R039,R040,R042,R046,R048,R049,R051,R053,R054,R057,R058,R059,R061,R062,R063,R071,R076
11,143,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,1,1,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.6,0,0,0.3,0,0,0.6,0.3,0.3,0.6,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,1,0.6,0.6,0.3,0,0,0.6,0.3,1,0.6,0.3,0.6,0.6,0,0.3,0.6,0.6,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
12,142,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,1,1,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.6,0,0,0.3,0,0,0.6,0.3,0,0.3,0.6,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,1,0.6,0.6,0.3,0,0.3,0.6,0.6,0.6,0.3,0,0.6,0.3,0,0.3,1,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
13,141,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,1,1,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.6,0,0,0.3,0,0,0.6,0.3,0,0.3,0.6,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6,0.3,0.3,0,0.3,0.6,1,0.6,0,0,0.3,0.3,0.3,0.3,0.6,0.6,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
14,154,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0,0,0.6,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,0.6,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0.3,0.3,0.3,1,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,0.6,0.6,0.3,0,0,0,0.6,0,1,0.6,0.6,1,0.6,0,0,0.3,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
15,153,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0.3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0.3,0,0,0.6,0.3,0.3,1,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,1,0.6,0.3,0,0,0,1,0,1,0.6,0.3,0.6,0.6,0,0.3,0.3,1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
16,152,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0.3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.6,0,0,0.3,0,0,0.6,0.3,0.3,1,0.3,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,1,0.6,0.6,0.3,0,0,0.6,0.3,0.6,0.3,0,0.6,0.3,0,0.3,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
17,151,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0.3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.6,0,0,0.3,0,0,0.6,0.3,0,0.6,0.3,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6,0.3,0.3,0,0.3,0.6,0.6,0.6,0,0,0.3,0.3,0,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
18,150,0,0.3,0,0.6,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0.3,0,0.6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0.6,0,0.6,0.3,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0.6,0,0.3,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0,0,0,0.6,0,0,0.6,0.6,1,0.6,0,0,0,1,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,810,0,0,0,0,0,0,1,0,1,1,0.3,0.3,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0.6,1,0,0.6,0,0,0,0,0,0.6,0.6,0,0,0,1,0,0,0,0,0,0,0.6,0.3,0,1,1,0,1,1,0,0,0,0.6,0.6,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0.6,0.3,0.3,0.3,0,0.3,0.3,0,1,0,0,1,0.6,0,0,0,0.6,0,0,0.6,1,0.3,0.3,0.3,0.3,0.3,0,0.6,0.3,0.3,0.6,0.3,0,0,0.6
20,824,0,0,0,0,0,0.3,1,0,1,1,0.6,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0.6,0,0.3,0.6,0,0.6,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0.6,0.6,0.3,0,0,0.3,0.6,0,0,0,1,0,0,1,0.3,0.6,0.3,0,0,0.3,0.6,0,0.6,0.6,0.6,0.6,0.3,0,0.6,0,0,1,0.3,0,0,0,0.3,0,0,0.3,1,0.6,0.3,0.3,0.3,0.3,0,0.3,0,0.3,0.6,1,0,0,1
21,823,0,0,0,0,0,0.3,1,0,1,1,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0.3,0,0,0,0,0.3,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,1,0,1,0,0.3,1,0,0.6,0.3,0,0,0,0,0.3,0.6,0,0,0,0.3,0,0,0,0,0,0,0.6,0.6,0,1,1,0,1,0.6,0.3,0,0,0.6,0.6,0,0,0,1,0,0,1,0.3,1,0.3,0,0,0.3,1,0,1,0.6,1,1,0.6,0,1,0,0,0.6,0.3,0,0,0,0.3,0,0,0.6,1,0.6,0.3,0,0.3,0.3,0,0,0.3,0.3,0.6,0.6,0,0,0.3
22,822,0,0,0,0,0,0.3,1,0,1,1,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0.6,0,0,0,0,0.6,0.3,1,0,0.3,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.6,0,0.3,0,0.6,0,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,1,0,1,0,0.3,1,0,0.3,0.3,0,0,0,0,0.3,0.6,0,0,0,0.6,0,0,0,0,0,0,0.6,0.6,0,1,1,0,1,0.6,0.3,0,0,0.6,0.6,0,0,0,1,0,0,1,0.3,1,0.3,0,0,0.3,1,0,1,1,1,1,1,0,1,0,0,0.6,0.6,0,0,0,0.6,0,0,0.6,1,0.3,0.3,0.6,0.3,0.3,0,0.6,0.3,0.3,0.6,1,0,0,0.6
23,821,0,0,0,0,0,0.3,1,0,1,1,0.6,0.6,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0.6,0,0,0,0,0.6,0.3,1,0,1,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0.6,0,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,1,0,0.6,0,0.3,1,0,0.3,0.3,0,0,0,0,0.3,0.6,0,0,0,0.6,0,0,0,0,0,0,0.6,0.6,0,1,1,0,1,1,0.3,0,0,0.6,0.6,0,0,0,0.6,0,0,0.6,0,1,0.3,0,0,0.3,0.6,0.3,0.6,0.6,0.6,1,1,0,1,0,0,0.6,0.6,0,0,0,0.6,0,0,0.6,1,0.3,0.3,0.6,0.3,0.3,0,0.6,0.3,0.3,0.6,1,0,0,0.6
24,834,0,0.3,0,0.3,0,0.6,0,0,1,1,0.6,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,1,0,0,0.3,0,0.3,0.3,0.3,0.3,0,0,0,0.3,0,0.3,0,0,0.3,0,0.6,0.6,0.3,0,0,0,1,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0.6,0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.6,0.6,0,0,0,1,0,0.3,0.3,0,0.6,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.6,0,0,0,0,0.3,0.3,0.3,0.3,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.3,0.3,0.3,0,0,0.6,0,0,0,1,1,0,0,0.3,0.6,0.3,0.3,0.3,0,0.3,0.6,0,0.3,0.3,0.6,0.6,0.3,0,0.3,0,0,0.3,0.3,0,0,0,0.3,0,0,0.3,1,1,0.3,0.3,0.3,0.3,0,0.3,0,0.6,0.3,0.6,0,0,0.3
25,833,0,0.3,0,0.3,0,0.6,0,0,1,1,0.6,0.6,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0.6,0,0,0,0.3,0,0,0.6,0,0,0.3,0,0.3,0.3,0.3,0.3,0,0,0,0.3,0,0.3,0,0,0.3,0,0.6,0.6,0.3,0,0,0,0.6,0.6,0,0,0,0,0,1,0.3,0,0,0,0,0.3,0,0.6,0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0.6,0,0,0,0,1,0,0.3,0.3,0,0.6,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0.3,0.6,0,0.6,0.3,0,0,0,0,0.3,0.6,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0.6,0,0.3,0.3,0,0.6,0.3,0.3,0,0,0.3,0.3,0,0,0.6,1,0,0,0.6,0.6,0.6,0.3,0.3,0,0.3,0.6,0,0.3,0.6,1,0.6,0.6,0,0.6,0,0,0.6,0.3,0,0,0,0.3,0,0,0.6,1,1,0.3,0.6,0.3,0.3,0,0,0.3,0.6,0.6,0.6,0,0,0.3
